Altitude (km)       Temperature (K)     Eddy Diffusion (cm^2/s)
0.0                 300.8               1.00e+05            
0.5                 298.3               1.00e+05            
1.0                 295.2               1.00e+05            
1.5                 292.1               1.00e+05            
2.0                 289.0               1.00e+05            
2.5                 286.2               1.00e+05            
3.0                 283.4               1.00e+05            
3.5                 280.7               1.00e+05            
4.0                 278.0               1.00e+05            
4.5                 275.1               1.00e+05            
5.0                 272.2               1.00e+05            
5.5                 269.2               1.00e+05            
6.0                 266.3               1.00e+05            
6.5                 263.2               1.00e+05            
7.0                 260.0               1.00e+05            
7.5                 256.8               1.00e+05            
8.0                 253.6               1.00e+05            
8.5                 249.8               1.00e+05            
9.0                 246.0               1.00e+05            
9.5                 242.3               9.00e+04            
10.0                238.3               8.00e+04            
10.5                234.0               5.50e+04            
11.0                229.7               3.00e+04            
11.5                225.4               2.35e+04            
12.0                221.2               1.70e+04            
12.5                217.1               1.25e+04            
13.0                212.9               8.00e+03            
13.5                209.0               6.90e+03            
14.0                205.1               5.80e+03            
14.5                201.2               5.20e+03            
15.0                198.9               4.60e+03            
15.5                197.1               4.30e+03            
16.0                195.3               4.00e+03            
16.5                195.4               3.95e+03            
17.0                196.0               3.90e+03            
17.5                196.6               3.90e+03            
18.0                197.8               3.90e+03            
18.5                199.3               4.00e+03            
19.0                200.7               4.10e+03            
19.5                202.2               4.35e+03            
20.0                203.8               4.60e+03            
20.5                205.3               4.85e+03            
21.0                206.8               5.10e+03            
21.5                208.2               5.45e+03            
22.0                209.7               5.80e+03            
22.5                211.1               6.20e+03            
23.0                212.4               6.60e+03            
23.5                213.8               7.05e+03            
24.0                215.0               7.50e+03            
24.5                216.0               8.00e+03            
25.0                217.1               8.50e+03            
25.5                218.1               9.00e+03            
26.0                218.9               9.50e+03            
26.5                219.8               1.00e+04            
27.0                220.6               1.06e+04            
27.5                221.5               1.13e+04            
28.0                222.3               1.20e+04            
28.5                223.1               1.25e+04            
29.0                224.1               1.30e+04            
29.5                225.2               1.36e+04            
30.0                226.4               1.43e+04            
30.5                227.5               1.52e+04            
31.0                229.1               1.60e+04            
31.5                230.7               1.67e+04            
32.0                232.4               1.74e+04            
32.5                234.1               1.82e+04            
33.0                235.9               1.90e+04            
33.5                237.7               2.00e+04            
34.0                239.4               2.10e+04            
34.5                240.9               2.20e+04            
35.0                242.5               2.30e+04            
35.5                244.0               2.45e+04            
36.0                245.4               2.60e+04            
36.5                246.7               2.75e+04            
37.0                248.0               2.90e+04            
37.5                249.2               3.05e+04            
38.0                250.4               3.20e+04            
38.5                251.6               3.40e+04            
39.0                252.8               3.60e+04            
39.5                253.9               3.80e+04            
40.0                254.9               4.00e+04            
40.5                256.0               4.20e+04            
41.0                257.0               4.40e+04            
41.5                257.9               4.65e+04            
42.0                258.8               4.90e+04            
42.5                259.6               5.20e+04            
43.0                260.4               5.50e+04            
43.5                261.2               5.85e+04            
44.0                261.9               6.20e+04            
44.5                262.6               6.45e+04            
45.0                263.3               6.70e+04            
45.5                263.9               7.15e+04            
46.0                264.4               7.60e+04            
46.5                265.0               8.00e+04            
47.0                265.5               8.40e+04            
47.5                265.9               8.80e+04            
48.0                266.3               9.20e+04            
48.5                266.7               9.70e+04            
49.0                267.1               1.02e+05            
49.5                267.4               1.07e+05            
50.0                267.5               1.12e+05            
50.5                267.7               1.12e+05            
51.0                267.8               1.12e+05            
51.5                267.8               1.12e+05            
52.0                267.7               1.12e+05            
52.5                267.6               1.12e+05            
53.0                267.4               1.12e+05            
53.5                267.0               1.12e+05            
54.0                266.4               1.12e+05            
54.5                265.9               1.12e+05            
55.0                265.3               1.12e+05            
55.5                264.4               1.12e+05            
56.0                263.4               1.12e+05            
56.5                262.5               1.12e+05            
57.0                261.4               1.12e+05            
57.5                260.0               1.12e+05            
58.0                258.6               1.12e+05            
58.5                257.2               1.12e+05            
59.0                255.6               1.12e+05            
59.5                254.0               1.12e+05            
60.0                252.3               1.12e+05            
60.5                250.7               1.12e+05            
61.0                249.0               1.12e+05            
61.5                247.3               1.12e+05            
62.0                245.5               1.12e+05            
62.5                243.7               1.12e+05            
63.0                241.8               1.12e+05            
63.5                239.8               1.12e+05            
64.0                237.9               1.12e+05            
64.5                236.1               1.12e+05            
65.0                234.2               1.12e+05            
65.5                232.4               1.12e+05            
66.0                230.5               1.12e+05            
66.5                228.5               1.12e+05            
67.0                226.6               1.12e+05            
67.5                224.7               1.12e+05            
68.0                223.1               1.12e+05            
68.5                221.5               1.12e+05            
69.0                219.9               1.12e+05            
69.5                218.5               1.12e+05            
70.0                217.2               1.12e+05            
70.5                215.8               1.12e+05            
71.0                214.8               1.12e+05            
71.5                213.9               1.12e+05            
72.0                212.9               1.12e+05            
72.5                212.2               1.12e+05            
73.0                211.5               1.12e+05            
73.5                210.9               1.12e+05            
74.0                210.3               1.12e+05            
74.5                209.8               1.12e+05            
75.0                209.4               1.12e+05            
75.5                208.9               1.12e+05            
76.0                208.5               1.12e+05            
76.5                208.2               1.12e+05            
77.0                207.8               1.12e+05            
77.5                207.5               1.12e+05            
78.0                207.2               1.12e+05            
78.5                207.0               1.12e+05            
79.0                206.7               1.12e+05            
79.5                206.4               1.12e+05            
80.0                206.1               1.12e+05            
80.5                205.7               1.12e+05            
81.0                205.2               1.12e+05            
81.5                204.8               1.12e+05            
82.0                204.2               1.12e+05            
82.5                203.5               1.12e+05            
83.0                202.7               1.12e+05            
83.5                201.9               1.12e+05            
84.0                200.8               1.12e+05            
84.5                199.7               1.12e+05            
85.0                198.6               1.12e+05            
85.5                197.5               1.12e+05            
86.0                196.4               1.12e+05            
86.5                195.3               1.12e+05            
87.0                194.2               1.12e+05            
87.5                193.1               1.12e+05            
88.0                192.2               1.12e+05            
88.5                191.3               1.12e+05            
89.0                190.4               1.12e+05            
89.5                189.8               1.12e+05            
90.0                189.2               1.12e+05            
90.5                188.6               1.12e+05            
91.0                188.2               1.12e+05            
91.5                187.9               1.12e+05            
92.0                187.5               1.12e+05            
92.5                187.4               1.12e+05            
93.0                187.3               1.12e+05            
93.5                187.2               1.12e+05            
94.0                187.2               1.12e+05            
94.5                187.3               1.12e+05            
95.0                187.3               1.12e+05            
95.5                187.2               1.12e+05            
96.0                187.2               1.12e+05            
96.5                187.2               1.12e+05            
97.0                187.3               1.12e+05            
97.5                187.3               1.12e+05            
98.0                187.4               1.12e+05            
98.5                187.5               1.12e+05            
99.0                187.6               1.12e+05            
99.5                187.6               1.12e+05            
100.0               187.6               1.12e+05            
